,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.25116688299999995,0.11177791799999996,0.41563311900000005,0.28919762099999996,0.520712283
M_1,0.25116688299999995,0.0,0.215904475,0.6667961520000002,0.539944838,0.771875316
M_2,0.11177791799999996,0.215904475,0.0,0.45092463500000013,0.324147325,0.555979887
M_{-1},0.41563311900000005,0.6667961520000002,0.45092463500000013,0.0,0.12696896600000002,0.11611648
{M_0},0.28919762099999996,0.539944838,0.324147325,0.12696896600000002,0.0,0.23193047800000002
{M_{-1}},0.520712283,0.771875316,0.555979887,0.11611648,0.23193047800000002,0.0
