,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.18813390740000002,0.11006938339999998,0.2871107316532,0.0721370344,0.2182824565
M_1,0.18813390740000002,0.0,0.08006137799999999,0.4752432970532,0.25682253699999996,0.4064150219000002
M_2,0.11006938339999998,0.08006137799999999,0.0,0.39518191905319994,0.176775093,0.32635390989999996
M_{-1},0.2871107316532,0.4752432970532,0.39518191905319994,0.0,0.2184207600532,0.0688282751532
{M_0},0.0721370344,0.25682253699999996,0.176775093,0.2184207600532,0.0,0.1495948869
{M_{-1}},0.2182824565,0.4064150219000002,0.32635390989999996,0.0688282751532,0.1495948869,0.0
