,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.8644900959999999,0.651181907,0.2483250684,0.15576808300000003,0.336246682
M_1,0.8644900959999999,0.0,0.21346284299999996,1.1128151644,1.020257329,1.200736778
M_2,0.651181907,0.21346284299999996,0.0,0.8993523214000001,0.8068030520000001,0.987274367
M_{-1},0.2483250684,1.1128151644,0.8993523214000001,0.0,0.09255783539999997,0.08849182439999999
{M_0},0.15576808300000003,1.020257329,0.8068030520000001,0.09255783539999997,0.0,0.18047944900000004
{M_{-1}},0.336246682,1.200736778,0.987274367,0.08849182439999999,0.18047944900000004,0.0
