,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.05530224100000001,0.14162498899999998,0.0613212979,0.24484596699999997,0.2829486441
M_1,0.05530224100000001,0.0,0.17481812,0.10604669089999999,0.288778438,0.32688622310000004
M_2,0.14162498899999998,0.17481812,0.0,0.1051333209,0.11676989399999996,0.15343058310000002
M_{-1},0.0613212979,0.10604669089999999,0.1051333209,0.0,0.18545389289999997,0.22221794379999998
{M_0},0.24484596699999997,0.288778438,0.11676989399999996,0.18545389289999997,0.0,0.0381089171
{M_{-1}},0.2829486441,0.32688622310000004,0.15343058310000002,0.22221794379999998,0.0381089171,0.0
