,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0002470226510502001,0.00015247709769480001,5.9668695541880004e-05,7.249392623497999e-05,0.00011576515249295998
M_1,0.0002470226510502001,0.0,9.960015021880001e-05,0.00025983422699808,0.00023201226300118003,0.00015369813861716
M_2,0.00015247709769480001,9.960015021880001e-05,0.0,0.00017205686771668,0.00015953457676377996,8.061685920636003e-05
M_{-1},5.9668695541880004e-05,0.00025983422699808,0.00017205686771668,0.0,6.14984428151e-05,0.00011176619595851997
{M_0},7.249392623497999e-05,0.00023201226300118003,0.00015953457676377996,6.14984428151e-05,0.0,0.00012133920379562
{M_{-1}},0.00011576515249295998,0.00015369813861716,8.061685920636003e-05,0.00011176619595851997,0.00012133920379562,0.0
