,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.003820212700000001,0.011614011500000002,0.0134408024,0.004952312999999998,0.0038989677999999995
M_1,0.003820212700000001,0.0,0.007795298399999999,0.0172596767,0.0011450758999999998,0.0077184623
M_2,0.011614011500000002,0.007795298399999999,0.0,0.0250537761,0.0066639003,0.0155105733
M_{-1},0.0134408024,0.0172596767,0.0250537761,0.0,0.018391563200000002,0.0095439834
{M_0},0.004952312999999998,0.0011450758999999998,0.0066639003,0.018391563200000002,0.0,0.008850464399999999
{M_{-1}},0.0038989677999999995,0.0077184623,0.0155105733,0.0095439834,0.008850464399999999,0.0
