,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.15078434462021303,0.39743850362050287,0.012021021748791001,0.5391786887375128,0.526934002170613
M_1,0.15078434462021303,0.0,0.42758666980029,0.140452519749004,0.5888690429173,0.5766243563504
M_2,0.39743850362050287,0.42758666980029,0.0,0.40372895674929404,0.19745522008299002,0.18334858024989
M_{-1},0.012021021748791001,0.140452519749004,0.40372895674929404,0.0,0.5509402158663039,0.5386954932994039
{M_0},0.5391786887375128,0.5888690429173,0.19745522008299002,0.5509402158663039,0.0,0.0145069547131
{M_{-1}},0.526934002170613,0.5766243563504,0.18334858024989,0.5386954932994039,0.0145069547131,0.0
