,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0015115084999600002,0.0009795536886419997,0.0004070225495812999,0.000796336187305,0.000663469615719
M_1,0.0015115084999600002,0.0,0.00064146764247,0.0011134752047233,0.0007209061854669999,0.0008668652506409999
M_2,0.0009795536886419997,0.00064146764247,0.0,0.0007092426213833,0.000322089219321,0.000368161383691
M_{-1},0.0004070225495812999,0.0011134752047233,0.0007092426213833,0.0,0.00044002980365630013,0.00037361707381229994
{M_0},0.000796336187305,0.0007209061854669999,0.000322089219321,0.00044002980365630013,0.0,0.00018542348201600005
{M_{-1}},0.000663469615719,0.0008668652506409999,0.000368161383691,0.00037361707381229994,0.00018542348201600005,0.0
