,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.019100712999999995,0.0580699,0.067204377,0.024761304999999997,0.019495196999999995
M_1,0.019100712999999995,0.0,0.038976671,0.08629840800000002,0.0057254959999999975,0.038592328
M_2,0.0580699,0.038976671,0.0,0.12526908499999997,0.03331959500000001,0.077553067
M_{-1},0.067204377,0.08629840800000002,0.12526908499999997,0.0,0.09195792600000002,0.047719928
{M_0},0.024761304999999997,0.0057254959999999975,0.03331959500000001,0.09195792600000002,0.0,0.04425242600000001
{M_{-1}},0.019495196999999995,0.038592328,0.077553067,0.047719928,0.04425242600000001,0.0
