,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0015115262674256,0.0009795568918055998,0.00040701697791559996,0.0007963429691956001,0.0006634837191934
M_1,0.0015115262674256,0.0,0.0006414635604739999,0.0011134889803720003,0.0007209177231099999,0.0008668633243590002
M_2,0.0009795568918055998,0.0006414635604739999,0.0,0.0007092226091160002,0.00032208809532999997,0.00036816218849899994
M_{-1},0.00040701697791559996,0.0011134889803720003,0.0007092226091160002,0.0,0.00044004083420399987,0.00037360202300699996
{M_0},0.0007963429691956001,0.0007209177231099999,0.00032208809532999997,0.00044004083420399987,0.0,0.00018541754274900013
{M_{-1}},0.0006634837191934,0.0008668633243590002,0.00036816218849899994,0.00037360202300699996,0.00018541754274900013,0.0
