,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00041305003000000014,0.0005940703400000002,0.0002448212,0.0005151771299999999,0.00041488298000000003
M_1,0.00041305003000000014,0.0,0.00023605067000000002,0.00024830370999999994,0.0003142230999999999,0.00018479002999999996
M_2,0.0005940703400000002,0.00023605067000000002,0.0,0.00036426220000000003,0.00017562167,0.00021654829999999994
M_{-1},0.0002448212,0.00024830370999999994,0.00036426220000000003,0.0,0.00027734669000000005,0.00017520688000000002
{M_0},0.0005151771299999999,0.0003142230999999999,0.00017562167,0.00027734669000000005,0.0,0.00018280213
{M_{-1}},0.00041488298000000003,0.00018479002999999996,0.00021654829999999994,0.00017520688000000002,0.00018280213,0.0
