,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.9542690425167,0.9110353115166999,0.36772456409532,0.15327535707084997,0.0743200084344
M_1,0.9542690425167,0.0,0.043233751,1.3219936066120197,0.80100761440355,0.8799523146620999
M_2,0.9110353115166999,0.043233751,0.0,1.27875987561202,0.7577855914035502,0.8367196616620999
M_{-1},0.36772456409532,1.3219936066120197,1.27875987561202,0.0,0.52099988020847,0.44204452594992005
{M_0},0.15327535707084997,0.80100761440355,0.7577855914035502,0.52099988020847,0.0,0.07895537743704999
{M_{-1}},0.0743200084344,0.8799523146620999,0.8367196616620999,0.44204452594992005,0.07895537743704999,0.0
