,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.12510245340747497,0.180883659686182,0.15900202949498995,0.1514018177982839,0.09079704144855996
M_1,0.12510245340747497,0.0,0.055781733978707,0.283989752266485,0.026299413930808892,0.041394681141084994
M_2,0.180883659686182,0.055781733978707,0.0,0.3397541412511921,0.0294842856678981,0.096963925818378
M_{-1},0.15900202949498995,0.283989752266485,0.3397541412511921,0.0,0.3102767812612939,0.24289657749357002
{M_0},0.1514018177982839,0.026299413930808892,0.0294842856678981,0.3102767812612939,0.0,0.0675757649902761
{M_{-1}},0.09079704144855996,0.041394681141084994,0.096963925818378,0.24289657749357002,0.0675757649902761,0.0
