,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.21187130648036,0.55226676598036,0.04962115935883,0.7840191642776201,0.8098823272782151
M_1,0.21187130648036,0.0,0.6024048693,0.21142332283919,0.87764721075798,0.903510373758575
M_2,0.55226676598036,0.6024048693,0.0,0.5055267833391899,0.32030448345798007,0.33590304045857494
M_{-1},0.04962115935883,0.21142332283919,0.5055267833391899,0.0,0.7344579401274102,0.760321101386405
{M_0},0.7840191642776201,0.87764721075798,0.32030448345798007,0.7344579401274102,0.0,0.026151106205595
{M_{-1}},0.8098823272782151,0.903510373758575,0.33590304045857494,0.760321101386405,0.026151106205595,0.0
