,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.15280949899043997,0.18719564579944006,0.2479931730363666,0.08895086675824003,0.10813705688919
M_1,0.15280949899043997,0.0,0.03439083080900001,0.4007732140268066,0.06387355023219998,0.048682318378609986
M_2,0.18719564579944006,0.03439083080900001,0.0,0.4351596048358066,0.09825871504119998,0.08041252678760999
M_{-1},0.2479931730363666,0.4007732140268066,0.4351596048358066,0.0,0.33691217379460664,0.35607250984819666
{M_0},0.08895086675824003,0.06387355023219998,0.09825871504119998,0.33691217379460664,0.0,0.02486107534641
{M_{-1}},0.10813705688919,0.048682318378609986,0.08041252678760999,0.35607250984819666,0.02486107534641,0.0
