,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00040718667600000015,0.00015224216120000004,0.0009386676160999999,0.0005348360263999999,0.0006726211428999999
M_1,0.00040718667600000015,0.0,0.0003132119886,0.0009161144329,0.0006804468215999999,0.0006799013426999998
M_2,0.00015224216120000004,0.0003132119886,0.0,0.0009074049721,0.0005253679112000001,0.0007036764423000001
M_{-1},0.0009386676160999999,0.0009161144329,0.0009074049721,0.0,0.0004088406713,0.0015813964126
{M_0},0.0005348360263999999,0.0006804468215999999,0.0005253679112000001,0.0004088406713,0.0,0.0011769056559
{M_{-1}},0.0006726211428999999,0.0006799013426999998,0.0007036764423000001,0.0015813964126,0.0011769056559,0.0
