,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00012351066088310002,7.623843572270001e-05,2.9833088825240004e-05,3.624740259539e-05,5.7882072736680014e-05
M_1,0.00012351066088310002,0.0,4.9801329547600004e-05,0.00012991552707734,0.00011600534045049001,7.684930804178e-05
M_2,7.623843572270001e-05,4.9801329547600004e-05,0.0,8.602662103594e-05,7.976600874349e-05,4.030864295778e-05
M_{-1},2.9833088825240004e-05,0.00012991552707734,8.602662103594e-05,0.0,3.074853741175001e-05,5.5881661459759994e-05
{M_0},3.624740259539e-05,0.00011600534045049001,7.976600874349e-05,3.074853741175001e-05,0.0,6.066796806511001e-05
{M_{-1}},5.7882072736680014e-05,7.684930804178e-05,4.030864295778e-05,5.5881661459759994e-05,6.066796806511001e-05,0.0
