,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.06415004699999997,0.08830310400000001,0.12852252700000003,0.220116117,0.302429967
M_1,0.06415004699999997,0.0,0.13584267900000002,0.19156395599999995,0.28312205199999996,0.365460042
M_2,0.08830310400000001,0.13584267900000002,0.0,0.09674454500000002,0.147354505,0.22965029700000003
M_{-1},0.12852252700000003,0.19156395599999995,0.09674454500000002,0.0,0.11027184599999997,0.17576099199999998
{M_0},0.220116117,0.28312205199999996,0.147354505,0.11027184599999997,0.0,0.08235417599999999
{M_{-1}},0.302429967,0.365460042,0.22965029700000003,0.17576099199999998,0.08235417599999999,0.0
