,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.032075092999999985,0.04415178460000001,0.064261394,0.11005800429999997,0.15121498910000006
M_1,0.032075092999999985,0.0,0.06792155440000001,0.09578227900000001,0.1415611419,0.1827301961
M_2,0.04415178460000001,0.06792155440000001,0.0,0.04837223659999999,0.0736771695,0.11482510370000001
M_{-1},0.064261394,0.09578227900000001,0.04837223659999999,0.0,0.0551357411,0.08788036809999998
{M_0},0.11005800429999997,0.1415611419,0.0736771695,0.0551357411,0.0,0.04117713819999999
{M_{-1}},0.15121498910000006,0.1827301961,0.11482510370000001,0.08788036809999998,0.04117713819999999,0.0
