,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.075392219447971,0.198719261154262,0.006010566681008,0.26958933497726595,0.2634669936112921
M_1,0.075392219447971,0.0,0.21379335630629095,0.070226251012963,0.2944345533292949,0.288312211963321
M_2,0.198719261154262,0.21379335630629095,0.0,0.20186444211925397,0.09872763517699608,0.09167429074297001
M_{-1},0.006010566681008,0.070226251012963,0.20186444211925397,0.0,0.2754701449422579,0.26934778657628394
{M_0},0.26958933497726595,0.2944345533292949,0.09872763517699608,0.2754701449422579,0.0,0.0072534985152260985
{M_{-1}},0.2634669936112921,0.288312211963321,0.09167429074297001,0.26934778657628394,0.0072534985152260985,0.0
