,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0005457645728680003,0.0011504186822633,0.0011654595307417702,0.00090498855752699,0.0003854688058828999
M_1,0.0005457645728680003,0.0,0.0006944237034193001,0.0006418198701017701,0.0005320159931009902,0.0003298165974429
M_2,0.0011504186822633,0.0006944237034193001,0.0,0.00027935122803646997,0.0005359314402336898,0.0008390974579174
M_{-1},0.0011654595307417702,0.0006418198701017701,0.00027935122803646997,0.0,0.0003411234223237797,0.0008636795821210699
{M_0},0.00090498855752699,0.0005320159931009902,0.0005359314402336898,0.0003411234223237797,0.0,0.00065684153446909
{M_{-1}},0.0003854688058828999,0.0003298165974429,0.0008390974579174,0.0008636795821210699,0.00065684153446909,0.0
