,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0005397956892243501,0.0010928537261677498,0.0002482874669519001,0.00034936675603160005,0.0009441696503424998
M_1,0.0005397956892243501,0.0,0.0005840419859605999,0.00039850721259245014,0.0002409852159019501,0.00045420376994685
M_2,0.0010928537261677498,0.0005840419859605999,0.0,0.00088219858505985,0.0007508210624293501,0.00020816551068624994
M_{-1},0.0002482874669519001,0.00039850721259245014,0.00088219858505985,0.0,0.00020755771004350005,0.0007344194640724
{M_0},0.00034936675603160005,0.0002409852159019501,0.0007508210624293501,0.00020755771004350005,0.0,0.0006068301929008999
{M_{-1}},0.0009441696503424998,0.00045420376994685,0.00020816551068624994,0.0007344194640724,0.0006068301929008999,0.0
