,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.6133271225750999,0.6157686434622999,0.16730783872720004,0.13301441063320002,0.1844654604409
M_1,0.6133271225750999,0.0,0.0024429986670000017,0.4460192843432999,0.4803127119489001,0.42886166231679995
M_2,0.6157686434622999,0.0024429986670000017,0.0,0.44846080523049986,0.4827542328953,0.431303183237
M_{-1},0.16730783872720004,0.4460192843432999,0.44846080523049986,0.0,0.0625705538014,0.0476617426819
{M_0},0.13301441063320002,0.4803127119489001,0.4827542328953,0.0625705538014,0.0,0.051451080018499996
{M_{-1}},0.1844654604409,0.42886166231679995,0.431303183237,0.0476617426819,0.051451080018499996,0.0
