,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00032207157099999983,0.00030715205800000003,0.0006857158929999999,0.00017369797300000004,0.0005478860379999999
M_1,0.00032207157099999983,0.0,0.00040645546500000005,0.0009565245260000002,0.00026702269599999994,0.000601188029
M_2,0.00030715205800000003,0.00040645546500000005,0.0,0.000764367645,0.0002786195749999999,0.0005525187039999999
M_{-1},0.0006857158929999999,0.0009565245260000002,0.000764367645,0.0,0.0008268344480000003,0.001209370509
{M_0},0.00017369797300000004,0.00026702269599999994,0.0002786195749999999,0.0008268344480000003,0.0,0.0003986835929999999
{M_{-1}},0.0005478860379999999,0.000601188029,0.0005525187039999999,0.001209370509,0.0003986835929999999,0.0
