,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0001610369601688001,0.00015359503911900005,0.0003428625501105701,8.684382804949999e-05,0.00027394078573260016
M_1,0.0001610369601688001,0.0,0.00020324240135020005,0.0004782688206617701,0.0001335045422791,0.00030058899074539996
M_2,0.00015359503911900005,0.00020324240135020005,0.0,0.0003821974912371701,0.00013931023077369995,0.0002762509983835999
M_{-1},0.0003428625501105701,0.0004782688206617701,0.0003821974912371701,0.0,0.00041341687564907,0.00060469045156117
{M_0},8.684382804949999e-05,0.0001335045422791,0.00013931023077369995,0.00041341687564907,0.0,0.00019934805633210005
{M_{-1}},0.00027394078573260016,0.00030058899074539996,0.0002762509983835999,0.00060469045156117,0.00019934805633210005,0.0
