,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.8644899639999999,0.6511817540000002,0.248325357,0.155768108,0.33624698199999997
M_1,0.8644899639999999,0.0,0.21346285600000003,1.1128153209999998,1.02025722,1.200736946
M_2,0.6511817540000002,0.21346285600000003,0.0,0.8993524650000001,0.8068029300000004,0.9872745219999999
M_{-1},0.248325357,1.1128153209999998,0.8993524650000001,0.0,0.092558101,0.08849186100000002
{M_0},0.155768108,1.02025722,0.8068029300000004,0.092558101,0.0,0.18047972600000006
{M_{-1}},0.33624698199999997,1.200736946,0.9872745219999999,0.08849186100000002,0.18047972600000006,0.0
