,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.22617666143269002,0.5961578859446901,0.018031670472731,0.8087679460707898,0.79040103855699
M_1,0.22617666143269002,0.0,0.6413802177119999,0.210678796443221,0.8833036018380999,0.8649366943243
M_2,0.5961578859446901,0.6413802177119999,0.0,0.6055933539552211,0.2961826358739,0.27502282938769995
M_{-1},0.018031670472731,0.210678796443221,0.6055933539552211,0.0,0.826410326081321,0.808043368567521
{M_0},0.8087679460707898,0.8833036018380999,0.2961826358739,0.826410326081321,0.0,0.021760217289800002
{M_{-1}},0.79040103855699,0.8649366943243,0.27502282938769995,0.808043368567521,0.021760217289800002,0.0
