,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00032206789658690025,0.0003071802057250002,0.0006857307714151003,0.00017369076045070002,0.0005478780551130002
M_1,0.00032206789658690025,0.0,0.00040648921249810007,0.0009565349711882,0.0002670061444938,0.0006011760314499
M_2,0.0003071802057250002,0.00040648921249810007,0.0,0.0007643889925821001,0.0002786238404422999,0.0005525009260899999
M_{-1},0.0006857307714151003,0.0009565349711882,0.0007643889925821001,0.0,0.0008268339122404001,0.0012093747790901
{M_0},0.00017369076045070002,0.0002670061444938,0.0002786238404422999,0.0008268339122404001,0.0,0.00039869270327370004
{M_{-1}},0.0005478780551130002,0.0006011760314499,0.0005525009260899999,0.0012093747790901,0.00039869270327370004,0.0
