,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.07539221805,0.19871926216999997,0.00601055715,0.26958934307,0.2634669678
M_1,0.07539221805,0.0,0.21379336152,0.07022624776,0.2944345666199999,0.28831219135
M_2,0.19871926216999997,0.21379336152,0.0,0.20186444308000004,0.09872762010000002,0.09167426516999999
M_{-1},0.00601055715,0.07022624776,0.20186444308000004,0.0,0.27547014338000003,0.26934775211
{M_0},0.26958934307,0.2944345666199999,0.09872762010000002,0.27547014338000003,0.0,0.007253505169999999
{M_{-1}},0.2634669678,0.28831219135,0.09167426516999999,0.26934775211,0.007253505169999999,0.0
