,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.06415045899999999,0.08830303,0.1285223066,0.220115563,0.3024297014
M_1,0.06415045899999999,0.0,0.135842761,0.19156405760000003,0.28312182799999996,0.36546010240000004
M_2,0.08830303,0.135842761,0.0,0.09674398459999997,0.147354227,0.2296502674
M_{-1},0.1285223066,0.19156405760000003,0.09674398459999997,0.0,0.1102715776,0.17576092520000003
{M_0},0.220115563,0.28312182799999996,0.147354227,0.1102715776,0.0,0.0823544584
{M_{-1}},0.3024297014,0.36546010240000004,0.2296502674,0.17576092520000003,0.0823544584,0.0
