,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.075392219502047,0.198719261415697,0.0060105657783394205,0.26958933603516505,0.263466993397977
M_1,0.075392219502047,0.0,0.21379335651364997,0.07022625230370759,0.29443455433311805,0.2883122116959301
M_2,0.198719261415697,0.21379335651364997,0.0,0.20186444361735761,0.098727634380532,0.09167429121771999
M_{-1},0.0060105657783394205,0.07022625230370759,0.20186444361735761,0.0,0.2754701472368256,0.26934778759963757
{M_0},0.26958933603516505,0.29443455433311805,0.098727634380532,0.2754701472368256,0.0,0.0072534981862119995
{M_{-1}},0.263466993397977,0.2883122116959301,0.09167429121771999,0.26934778759963757,0.0072534981862119995,0.0
