,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.06415033499999996,0.08830323000000001,0.12852237800000002,0.22011557700000003,0.30242978400000003
M_1,0.06415033499999996,0.0,0.13584301699999998,0.19156409500000005,0.283121808,0.36546015500000006
M_2,0.08830323000000001,0.13584301699999998,0.0,0.09674438599999999,0.147353953,0.22965007199999998
M_{-1},0.12852237800000002,0.19156409500000005,0.09674438599999999,0.0,0.11027157699999998,0.175760996
{M_0},0.22011557700000003,0.283121808,0.147353953,0.11027157699999998,0.0,0.082354531
{M_{-1}},0.30242978400000003,0.36546015500000006,0.22965007199999998,0.175760996,0.082354531,0.0
