,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0005685024511742301,0.0002036379455196999,0.0002739664092709998,0.0007246590906679001,0.00023512409374190014
M_1,0.0005685024511742301,0.0,0.00042965707584192997,0.0006112069118732301,0.0006819183500701299,0.0006806714544843299
M_2,0.0002036379455196999,0.00042965707584192997,0.0,0.00029274404281529997,0.0006705771606240001,0.00028523168573400023
M_{-1},0.0002739664092709998,0.0006112069118732301,0.00029274404281529997,0.0,0.0005433987498231002,0.0004213017627355003
{M_0},0.0007246590906679001,0.0006819183500701299,0.0006705771606240001,0.0005433987498231002,0.0,0.0009149042892924
{M_{-1}},0.00023512409374190014,0.0006806714544843299,0.00028523168573400023,0.0004213017627355003,0.0009149042892924,0.0
