,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.00012351228982019998,7.623875994759999e-05,2.9835568922399996e-05,3.6247974336000004e-05,5.7884304340170005e-05
M_1,0.00012351228982019998,0.0,4.980154813780001e-05,0.00012991697374659998,0.00011600598554139999,7.684883827397002e-05
M_2,7.623875994759999e-05,4.980154813780001e-05,0.0,8.602756581399998e-05,7.976760554759999e-05,4.030925515176999e-05
M_{-1},2.9835568922399996e-05,0.00012991697374659998,8.602756581399998e-05,0.0,3.0748090905599994e-05,5.588368967577e-05
{M_0},3.6247974336000004e-05,0.00011600598554139999,7.976760554759999e-05,3.0748090905599994e-05,0.0,6.066981893217e-05
{M_{-1}},5.7884304340170005e-05,7.684883827397002e-05,4.030925515176999e-05,5.588368967577e-05,6.066981893217e-05,0.0
