,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.11501255799999999,0.349014556,0.40298305799999995,0.14907176700000002,0.116558884
M_1,0.11501255799999999,0.0,0.23404651799999993,0.5179537359999999,0.034529746999999986,0.231548502
M_2,0.349014556,0.23404651799999993,0.0,0.751963054,0.199999369,0.46549619999999997
M_{-1},0.40298305799999995,0.5179537359999999,0.751963054,0.0,0.5520159649999999,0.28648829400000003
{M_0},0.14907176700000002,0.034529746999999986,0.199999369,0.5520159649999999,0.0,0.26561277099999997
{M_{-1}},0.116558884,0.231548502,0.46549619999999997,0.28648829400000003,0.26561277099999997,0.0
