,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.015280377999999999,0.046455891,0.05376359400000001,0.01980906999999999,0.015596250999999998
M_1,0.015280377999999999,0.0,0.031181494999999997,0.069038632,0.0045804999999999995,0.030873766999999993
M_2,0.046455891,0.031181494999999997,0.0,0.10021532700000002,0.026655625,0.06204251399999999
M_{-1},0.05376359400000001,0.069038632,0.10021532700000002,0.0,0.07356645199999999,0.038175939
{M_0},0.01980906999999999,0.0045804999999999995,0.026655625,0.07356645199999999,0.0,0.03540204899999999
{M_{-1}},0.015596250999999998,0.030873766999999993,0.06204251399999999,0.038175939,0.03540204899999999,0.0
