,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.1251024673,0.18088370580000002,0.15900196031399996,0.15140184159999998,0.09079704648999998
M_1,0.1251024673,0.0,0.0557817663,0.283989700214,0.026299423899999994,0.04139463819
M_2,0.18088370580000002,0.0557817663,0.0,0.339754121314,0.029484307999999997,0.09696391788999999
M_{-1},0.15900196031399996,0.283989700214,0.339754121314,0.0,0.3102767401139999,0.24289656422400002
{M_0},0.15140184159999998,0.026299423899999994,0.029484307999999997,0.3102767401139999,0.0,0.06757573789
{M_{-1}},0.09079704648999998,0.04139463819,0.09696391788999999,0.24289656422400002,0.06757573789,0.0
