,M_0,M_1,M_2,M_{-1},{M_0},{M_{-1}}
M_0,0.0,0.0002470219007279001,0.00015247640337840004,5.966871125319997e-05,7.249465024350001e-05,0.00011576554147262
M_1,0.0002470219007279001,0.0,9.960000634629997e-05,0.00025983403956390003,0.0002320120042548,0.00015369783850472
M_2,0.00015247640337840004,9.960000634629997e-05,0.0,0.00017205611365159998,0.00015953550608190003,8.061676981102e-05
M_{-1},5.966871125319997e-05,0.00025983403956390003,0.00017205611365159998,0.0,6.14983264255e-05,0.00011176625904942002
{M_0},7.249465024350001e-05,0.0002320120042548,0.00015953550608190003,6.14983264255e-05,0.0,0.00012133952068912
{M_{-1}},0.00011576554147262,0.00015369783850472,8.061676981102e-05,0.00011176625904942002,0.00012133952068912,0.0
